model_id,dataset,retriever,cond,A,n_A,B,n_B,delta
Qwen2.5-3B,FrenchRoyalty,onehop,E0,0.42,100,0.43,100,0.010000000000000009
Qwen2.5-3B,FrenchRoyalty,onehop,E1,0.16,100,0.16,100,0.0
Qwen2.5-3B,FrenchRoyalty,onehop,E2,0.25,100,0.26,100,0.010000000000000009
Qwen2.5-3B,FrenchRoyalty,onehop,E3,0.23,100,0.23,100,0.0
Qwen2.5-3B,FrenchRoyalty,onehop,E4,0.15,100,0.14,100,-0.009999999999999981
Qwen2.5-3B,FrenchRoyalty,onehop,E5,0.47,100,0.47,100,0.0
Qwen2.5-3B,FrenchRoyalty,onehop,E6,0.63,100,0.65,100,0.020000000000000018
Qwen2.5-3B,FrenchRoyalty,onehop,E7,0.23,100,0.25,100,0.01999999999999999
Qwen2.5-3B,FrenchRoyalty,tog,E0,0.4,100,0.4,100,0.0
Qwen2.5-3B,FrenchRoyalty,tog,E1,0.17,100,0.19,100,0.01999999999999999
Qwen2.5-3B,FrenchRoyalty,tog,E2,0.28,100,0.29,100,0.009999999999999953
Qwen2.5-3B,FrenchRoyalty,tog,E3,0.27,100,0.29,100,0.019999999999999962
Qwen2.5-3B,FrenchRoyalty,tog,E4,0.17,100,0.18,100,0.009999999999999981
Qwen2.5-3B,FrenchRoyalty,tog,E5,0.5,100,0.56,100,0.06000000000000005
Qwen2.5-3B,FrenchRoyalty,tog,E6,0.55,100,0.52,100,-0.030000000000000027
Qwen2.5-3B,FrenchRoyalty,tog,E7,0.27,100,0.27,100,0.0
Qwen2.5-3B,FrenchRoyalty,pog,E0,0.21,100,0.23,100,0.020000000000000018
Qwen2.5-3B,FrenchRoyalty,pog,E1,0.06,100,0.06,100,0.0
Qwen2.5-3B,FrenchRoyalty,pog,E2,0.16,100,0.18,100,0.01999999999999999
Qwen2.5-3B,FrenchRoyalty,pog,E3,0.15,100,0.19,100,0.04000000000000001
Qwen2.5-3B,FrenchRoyalty,pog,E4,0.1,100,0.09,100,-0.010000000000000009
Qwen2.5-3B,FrenchRoyalty,pog,E5,0.33,100,0.33,100,0.0
Qwen2.5-3B,FrenchRoyalty,pog,E6,0.57,100,0.47,100,-0.09999999999999998
Qwen2.5-3B,FrenchRoyalty,pog,E7,0.13,100,0.16,100,0.03
Qwen2.5-3B,FrenchRoyalty,structgpt,E0,0.16,100,0.18,100,0.01999999999999999
Qwen2.5-3B,FrenchRoyalty,structgpt,E1,0.04,100,0.03,100,-0.010000000000000002
Qwen2.5-3B,FrenchRoyalty,structgpt,E2,0.14,100,0.13,100,-0.010000000000000009
Qwen2.5-3B,FrenchRoyalty,structgpt,E3,0.09,100,0.08,100,-0.009999999999999995
Qwen2.5-3B,FrenchRoyalty,structgpt,E4,0.04,100,0.05,100,0.010000000000000002
Qwen2.5-3B,FrenchRoyalty,structgpt,E5,0.33,100,0.35,100,0.019999999999999962
Qwen2.5-3B,FrenchRoyalty,structgpt,E6,0.59,100,0.56,100,-0.029999999999999916
Qwen2.5-3B,FrenchRoyalty,structgpt,E7,0.1,100,0.09,100,-0.010000000000000009
Qwen2.5-3B,DB100K,onehop,E0,0.37,100,0.38,100,0.010000000000000009
Qwen2.5-3B,DB100K,onehop,E1,0.09,100,0.1,100,0.010000000000000009
Qwen2.5-3B,DB100K,onehop,E2,0.14,100,0.14,100,0.0
Qwen2.5-3B,DB100K,onehop,E3,0.13,100,0.13,100,0.0
Qwen2.5-3B,DB100K,onehop,E4,0.08,100,0.08,100,0.0
Qwen2.5-3B,DB100K,onehop,E5,0.37,100,0.38,100,0.010000000000000009
Qwen2.5-3B,DB100K,onehop,E6,0.78,100,0.75,100,-0.030000000000000027
Qwen2.5-3B,DB100K,onehop,E7,0.14,100,0.14,100,0.0
Qwen2.5-3B,DB100K,tog,E0,0.44,100,0.48,100,0.03999999999999998
Qwen2.5-3B,DB100K,tog,E1,0.09,100,0.11,100,0.020000000000000004
Qwen2.5-3B,DB100K,tog,E2,0.14,100,0.14,100,0.0
Qwen2.5-3B,DB100K,tog,E3,0.15,100,0.13,100,-0.01999999999999999
Qwen2.5-3B,DB100K,tog,E4,0.06,100,0.09,100,0.03
Qwen2.5-3B,DB100K,tog,E5,0.49,100,0.54,100,0.050000000000000044
Qwen2.5-3B,DB100K,tog,E6,0.82,100,0.8,100,-0.019999999999999907
Qwen2.5-3B,DB100K,tog,E7,0.15,100,0.12,100,-0.03
Qwen2.5-3B,DB100K,pog,E0,0.15,100,0.17,100,0.020000000000000018
Qwen2.5-3B,DB100K,pog,E1,0.03,100,0.05,100,0.020000000000000004
Qwen2.5-3B,DB100K,pog,E2,0.08,100,0.09,100,0.009999999999999995
Qwen2.5-3B,DB100K,pog,E3,0.1,100,0.1,100,0.0
Qwen2.5-3B,DB100K,pog,E4,0.03,100,0.06,100,0.03
Qwen2.5-3B,DB100K,pog,E5,0.19,100,0.21,100,0.01999999999999999
Qwen2.5-3B,DB100K,pog,E6,0.64,100,0.62,100,-0.020000000000000018
Qwen2.5-3B,DB100K,pog,E7,0.08,100,0.08,100,0.0
Qwen2.5-3B,DB100K,structgpt,E0,0.32,100,0.3,100,-0.020000000000000018
Qwen2.5-3B,DB100K,structgpt,E1,0.06,100,0.1,100,0.04000000000000001
Qwen2.5-3B,DB100K,structgpt,E2,0.1,100,0.1,100,0.0
Qwen2.5-3B,DB100K,structgpt,E3,0.11,100,0.14,100,0.030000000000000013
Qwen2.5-3B,DB100K,structgpt,E4,0.07,100,0.08,100,0.009999999999999995
Qwen2.5-3B,DB100K,structgpt,E5,0.33,100,0.35,100,0.019999999999999962
Qwen2.5-3B,DB100K,structgpt,E6,0.58,100,0.62,100,0.040000000000000036
Qwen2.5-3B,DB100K,structgpt,E7,0.06,100,0.1,100,0.04000000000000001
Qwen2.5-3B,YAGO3-10,onehop,E0,0.58,100,0.57,100,-0.010000000000000009
Qwen2.5-3B,YAGO3-10,onehop,E1,0.13,100,0.12,100,-0.010000000000000009
Qwen2.5-3B,YAGO3-10,onehop,E2,0.14,100,0.13,100,-0.010000000000000009
Qwen2.5-3B,YAGO3-10,onehop,E3,0.16,100,0.16,100,0.0
Qwen2.5-3B,YAGO3-10,onehop,E4,0.16,100,0.18,100,0.01999999999999999
Qwen2.5-3B,YAGO3-10,onehop,E5,0.57,100,0.56,100,-0.009999999999999898
Qwen2.5-3B,YAGO3-10,onehop,E6,0.78,100,0.78,100,0.0
Qwen2.5-3B,YAGO3-10,onehop,E7,0.14,100,0.13,100,-0.010000000000000009
Qwen2.5-3B,YAGO3-10,tog,E0,0.51,100,0.51,100,0.0
Qwen2.5-3B,YAGO3-10,tog,E1,0.17,100,0.1,100,-0.07
Qwen2.5-3B,YAGO3-10,tog,E2,0.15,100,0.1,100,-0.04999999999999999
Qwen2.5-3B,YAGO3-10,tog,E3,0.13,100,0.1,100,-0.03
Qwen2.5-3B,YAGO3-10,tog,E4,0.12,100,0.14,100,0.020000000000000018
Qwen2.5-3B,YAGO3-10,tog,E5,0.5,100,0.54,100,0.040000000000000036
Qwen2.5-3B,YAGO3-10,tog,E6,0.7,100,0.67,100,-0.029999999999999916
Qwen2.5-3B,YAGO3-10,tog,E7,0.15,100,0.1,100,-0.04999999999999999
Qwen2.5-3B,YAGO3-10,pog,E0,0.26,100,0.22,100,-0.04000000000000001
Qwen2.5-3B,YAGO3-10,pog,E1,0.12,100,0.1,100,-0.01999999999999999
Qwen2.5-3B,YAGO3-10,pog,E2,0.11,100,0.1,100,-0.009999999999999995
Qwen2.5-3B,YAGO3-10,pog,E3,0.09,100,0.07,100,-0.01999999999999999
Qwen2.5-3B,YAGO3-10,pog,E4,0.14,100,0.12,100,-0.020000000000000018
Qwen2.5-3B,YAGO3-10,pog,E5,0.25,100,0.22,100,-0.03
Qwen2.5-3B,YAGO3-10,pog,E6,0.64,100,0.66,100,0.020000000000000018
Qwen2.5-3B,YAGO3-10,pog,E7,0.13,100,0.1,100,-0.03
Qwen2.5-3B,YAGO3-10,structgpt,E0,0.43,100,0.45,100,0.020000000000000018
Qwen2.5-3B,YAGO3-10,structgpt,E1,0.1,100,0.12,100,0.01999999999999999
Qwen2.5-3B,YAGO3-10,structgpt,E2,0.1,100,0.1,100,0.0
Qwen2.5-3B,YAGO3-10,structgpt,E3,0.08,100,0.07,100,-0.009999999999999995
Qwen2.5-3B,YAGO3-10,structgpt,E4,0.14,100,0.13,100,-0.010000000000000009
Qwen2.5-3B,YAGO3-10,structgpt,E5,0.49,100,0.52,100,0.030000000000000027
Qwen2.5-3B,YAGO3-10,structgpt,E6,0.61,100,0.57,100,-0.040000000000000036
Qwen2.5-3B,YAGO3-10,structgpt,E7,0.1,100,0.1,100,0.0
Llama-3.1-8B,FrenchRoyalty,onehop,E0,0.47,100,0.53,100,0.06000000000000005
Llama-3.1-8B,FrenchRoyalty,onehop,E1,0.15,100,0.15,100,0.0
Llama-3.1-8B,FrenchRoyalty,onehop,E2,0.28,100,0.29,100,0.009999999999999953
Llama-3.1-8B,FrenchRoyalty,onehop,E3,0.28,100,0.28,100,0.0
Llama-3.1-8B,FrenchRoyalty,onehop,E4,0.14,100,0.14,100,0.0
Llama-3.1-8B,FrenchRoyalty,onehop,E5,0.5,100,0.54,100,0.040000000000000036
Llama-3.1-8B,FrenchRoyalty,onehop,E6,0.69,100,0.74,100,0.050000000000000044
Llama-3.1-8B,FrenchRoyalty,onehop,E7,0.24,100,0.25,100,0.010000000000000009
Llama-3.1-8B,FrenchRoyalty,tog,E0,0.43,100,0.56,100,0.13000000000000006
Llama-3.1-8B,FrenchRoyalty,tog,E1,0.08,100,0.13,100,0.05
Llama-3.1-8B,FrenchRoyalty,tog,E2,0.21,100,0.26,100,0.05000000000000002
Llama-3.1-8B,FrenchRoyalty,tog,E3,0.21,100,0.25,100,0.04000000000000001
Llama-3.1-8B,FrenchRoyalty,tog,E4,0.11,100,0.14,100,0.030000000000000013
Llama-3.1-8B,FrenchRoyalty,tog,E5,0.48,100,0.55,100,0.07000000000000006
Llama-3.1-8B,FrenchRoyalty,tog,E6,0.6,100,0.77,100,0.17000000000000004
Llama-3.1-8B,FrenchRoyalty,tog,E7,0.22,100,0.29,100,0.06999999999999998
Llama-3.1-8B,FrenchRoyalty,pog,E0,0.42,100,0.48,100,0.06
Llama-3.1-8B,FrenchRoyalty,pog,E1,0.15,100,0.11,100,-0.039999999999999994
Llama-3.1-8B,FrenchRoyalty,pog,E2,0.22,100,0.2,100,-0.01999999999999999
Llama-3.1-8B,FrenchRoyalty,pog,E3,0.25,100,0.24,100,-0.010000000000000009
Llama-3.1-8B,FrenchRoyalty,pog,E4,0.08,100,0.09,100,0.009999999999999995
Llama-3.1-8B,FrenchRoyalty,pog,E5,0.48,100,0.47,100,-0.010000000000000009
Llama-3.1-8B,FrenchRoyalty,pog,E6,0.67,100,0.77,100,0.09999999999999998
Llama-3.1-8B,FrenchRoyalty,pog,E7,0.24,100,0.25,100,0.010000000000000009
Llama-3.1-8B,FrenchRoyalty,structgpt,E0,0.41,100,0.47,100,0.06
Llama-3.1-8B,FrenchRoyalty,structgpt,E1,0.06,100,0.07,100,0.010000000000000009
Llama-3.1-8B,FrenchRoyalty,structgpt,E2,0.18,100,0.18,100,0.0
Llama-3.1-8B,FrenchRoyalty,structgpt,E3,0.17,100,0.16,100,-0.010000000000000009
Llama-3.1-8B,FrenchRoyalty,structgpt,E4,0.05,100,0.05,100,0.0
Llama-3.1-8B,FrenchRoyalty,structgpt,E5,0.44,100,0.44,100,0.0
Llama-3.1-8B,FrenchRoyalty,structgpt,E6,0.64,100,0.74,100,0.09999999999999998
Llama-3.1-8B,FrenchRoyalty,structgpt,E7,0.24,100,0.15,100,-0.09
Llama-3.1-8B,DB100K,onehop,E0,0.57,100,0.66,100,0.09000000000000008
Llama-3.1-8B,DB100K,onehop,E1,0.16,100,0.18,100,0.01999999999999999
Llama-3.1-8B,DB100K,onehop,E2,0.22,100,0.22,100,0.0
Llama-3.1-8B,DB100K,onehop,E3,0.24,100,0.2,100,-0.03999999999999998
Llama-3.1-8B,DB100K,onehop,E4,0.19,100,0.17,100,-0.01999999999999999
