model_id,dataset,retriever,cond,n,hits_hard,hhr,f1
Qwen2.5-3B,FrenchRoyalty,onehop,E0,100,0.43,0.8113207547169812,0.4282142857142857
Qwen2.5-3B,FrenchRoyalty,onehop,E1,100,0.16,0.5,0.22582900432900435
Qwen2.5-3B,FrenchRoyalty,onehop,E2,100,0.26,0.65,0.29526984126984135
Qwen2.5-3B,FrenchRoyalty,onehop,E3,100,0.23,0.6388888888888888,0.2648982683982684
Qwen2.5-3B,FrenchRoyalty,onehop,E4,100,0.14,0.56,0.1892813852813853
Qwen2.5-3B,FrenchRoyalty,onehop,E5,100,0.47,0.8703703703703703,0.4319126984126983
Qwen2.5-3B,FrenchRoyalty,onehop,E6,100,0.65,0.9154929577464789,0.5632099567099564
Qwen2.5-3B,FrenchRoyalty,onehop,E7,100,0.25,0.6756756756756757,0.267531746031746
Qwen2.5-3B,FrenchRoyalty,tog,E0,100,0.4,0.8333333333333334,0.37586507936507935
Qwen2.5-3B,FrenchRoyalty,tog,E1,100,0.19,0.6785714285714286,0.2129365079365079
Qwen2.5-3B,FrenchRoyalty,tog,E2,100,0.29,0.725,0.30221428571428577
Qwen2.5-3B,FrenchRoyalty,tog,E3,100,0.29,0.725,0.29621428571428576
Qwen2.5-3B,FrenchRoyalty,tog,E4,100,0.18,0.6923076923076923,0.2111904761904762
Qwen2.5-3B,FrenchRoyalty,tog,E5,100,0.56,0.875,0.5154761904761904
Qwen2.5-3B,FrenchRoyalty,tog,E6,100,0.52,0.8813559322033898,0.47361904761904755
Qwen2.5-3B,FrenchRoyalty,tog,E7,100,0.27,0.75,0.2601666666666667
Qwen2.5-3B,FrenchRoyalty,pog,E0,100,0.23,0.8214285714285714,0.2266666666666667
Qwen2.5-3B,FrenchRoyalty,pog,E1,100,0.06,0.5,0.084
Qwen2.5-3B,FrenchRoyalty,pog,E2,100,0.18,0.72,0.16816666666666666
Qwen2.5-3B,FrenchRoyalty,pog,E3,100,0.19,0.7037037037037037,0.17983333333333332
Qwen2.5-3B,FrenchRoyalty,pog,E4,100,0.09,0.5294117647058824,0.11788888888888888
Qwen2.5-3B,FrenchRoyalty,pog,E5,100,0.33,0.825,0.3091666666666667
Qwen2.5-3B,FrenchRoyalty,pog,E6,100,0.47,0.9215686274509803,0.402984126984127
Qwen2.5-3B,FrenchRoyalty,pog,E7,100,0.16,0.8,0.1365
Qwen2.5-3B,FrenchRoyalty,structgpt,E0,100,0.18,0.9,0.17095238095238094
Qwen2.5-3B,FrenchRoyalty,structgpt,E1,100,0.03,0.3333333333333333,0.0635952380952381
Qwen2.5-3B,FrenchRoyalty,structgpt,E2,100,0.13,0.6842105263157895,0.13276190476190475
Qwen2.5-3B,FrenchRoyalty,structgpt,E3,100,0.08,0.6666666666666666,0.08223809523809524
Qwen2.5-3B,FrenchRoyalty,structgpt,E4,100,0.05,0.5,0.06442857142857143
Qwen2.5-3B,FrenchRoyalty,structgpt,E5,100,0.35,0.9459459459459459,0.29278571428571437
Qwen2.5-3B,FrenchRoyalty,structgpt,E6,100,0.56,0.9824561403508771,0.45857142857142846
Qwen2.5-3B,FrenchRoyalty,structgpt,E7,100,0.09,0.6428571428571429,0.0985952380952381
Qwen2.5-3B,DB100K,onehop,E0,100,0.38,0.8085106382978723,0.3771819226525108
Qwen2.5-3B,DB100K,onehop,E1,100,0.1,0.3225806451612903,0.2123135753135753
Qwen2.5-3B,DB100K,onehop,E2,100,0.14,0.4117647058823529,0.236362117414749
Qwen2.5-3B,DB100K,onehop,E3,100,0.13,0.41935483870967744,0.21532539682539686
Qwen2.5-3B,DB100K,onehop,E4,100,0.08,0.23529411764705882,0.2213174015526957
Qwen2.5-3B,DB100K,onehop,E5,100,0.38,0.8085106382978723,0.3663303713830029
Qwen2.5-3B,DB100K,onehop,E6,100,0.75,0.9615384615384616,0.5647422723475352
Qwen2.5-3B,DB100K,onehop,E7,100,0.14,0.4375,0.23632828282828286
Qwen2.5-3B,DB100K,tog,E0,100,0.48,0.8,0.4603518220909524
Qwen2.5-3B,DB100K,tog,E1,100,0.11,0.2619047619047619,0.23504046677959722
Qwen2.5-3B,DB100K,tog,E2,100,0.14,0.35,0.2483636363636364
Qwen2.5-3B,DB100K,tog,E3,100,0.13,0.3170731707317073,0.24634534788882623
Qwen2.5-3B,DB100K,tog,E4,100,0.09,0.21428571428571427,0.24215556424252077
Qwen2.5-3B,DB100K,tog,E5,100,0.54,0.9,0.47570689455472054
Qwen2.5-3B,DB100K,tog,E6,100,0.8,0.9090909090909091,0.6300912408847188
Qwen2.5-3B,DB100K,tog,E7,100,0.12,0.3157894736842105,0.22589760963674008
Qwen2.5-3B,DB100K,pog,E0,100,0.17,0.7391304347826086,0.17048809523809524
Qwen2.5-3B,DB100K,pog,E1,100,0.05,0.3333333333333333,0.09082142857142857
Qwen2.5-3B,DB100K,pog,E2,100,0.09,0.47368421052631576,0.1169498556998557
Qwen2.5-3B,DB100K,pog,E3,100,0.1,0.4166666666666667,0.13774799234581842
Qwen2.5-3B,DB100K,pog,E4,100,0.06,0.25,0.1380674603174603
Qwen2.5-3B,DB100K,pog,E5,100,0.21,0.75,0.1819974747474748
Qwen2.5-3B,DB100K,pog,E6,100,0.62,0.96875,0.4510198412698412
Qwen2.5-3B,DB100K,pog,E7,100,0.08,0.5,0.10910714285714286
Qwen2.5-3B,DB100K,structgpt,E0,100,0.3,0.8108108108108109,0.26569813519813523
Qwen2.5-3B,DB100K,structgpt,E1,100,0.1,0.2777777777777778,0.23135533910533915
Qwen2.5-3B,DB100K,structgpt,E2,100,0.1,0.30303030303030304,0.20701984126984127
Qwen2.5-3B,DB100K,structgpt,E3,100,0.14,0.3783783783783784,0.22106105006105004
Qwen2.5-3B,DB100K,structgpt,E4,100,0.08,0.21621621621621623,0.2194960317460318
Qwen2.5-3B,DB100K,structgpt,E5,100,0.35,0.8536585365853658,0.30226255411255415
Qwen2.5-3B,DB100K,structgpt,E6,100,0.62,0.9117647058823529,0.47353948828948816
Qwen2.5-3B,DB100K,structgpt,E7,100,0.1,0.29411764705882354,0.22186507936507938
Qwen2.5-3B,YAGO3-10,onehop,E0,100,0.57,0.8636363636363636,0.5588242988895162
Qwen2.5-3B,YAGO3-10,onehop,E1,100,0.12,0.5454545454545454,0.13641196768562497
Qwen2.5-3B,YAGO3-10,onehop,E2,100,0.13,0.5909090909090909,0.14580879308245037
Qwen2.5-3B,YAGO3-10,onehop,E3,100,0.16,0.64,0.15938523418520725
Qwen2.5-3B,YAGO3-10,onehop,E4,100,0.18,0.6,0.1810887141417832
Qwen2.5-3B,YAGO3-10,onehop,E5,100,0.56,0.8888888888888888,0.5397766798418971
Qwen2.5-3B,YAGO3-10,onehop,E6,100,0.78,0.9873417721518988,0.6437883809693399
Qwen2.5-3B,YAGO3-10,onehop,E7,100,0.13,0.65,0.13147545974911704
Qwen2.5-3B,YAGO3-10,tog,E0,100,0.51,0.796875,0.5215872793686342
Qwen2.5-3B,YAGO3-10,tog,E1,100,0.1,0.3225806451612903,0.1967986411063119
Qwen2.5-3B,YAGO3-10,tog,E2,100,0.1,0.3225806451612903,0.1942986411063119
Qwen2.5-3B,YAGO3-10,tog,E3,100,0.1,0.30303030303030304,0.20525102205869283
Qwen2.5-3B,YAGO3-10,tog,E4,100,0.14,0.4117647058823529,0.23624232607631268
Qwen2.5-3B,YAGO3-10,tog,E5,100,0.54,0.7941176470588235,0.5415872793686343
Qwen2.5-3B,YAGO3-10,tog,E6,100,0.67,0.8375,0.6712996853836717
Qwen2.5-3B,YAGO3-10,tog,E7,100,0.1,0.3225806451612903,0.19465578396345473
Qwen2.5-3B,YAGO3-10,pog,E0,100,0.22,0.6470588235294118,0.2232669172932331
Qwen2.5-3B,YAGO3-10,pog,E1,100,0.1,0.4166666666666667,0.16712406015037595
Qwen2.5-3B,YAGO3-10,pog,E2,100,0.1,0.4166666666666667,0.16312406015037592
Qwen2.5-3B,YAGO3-10,pog,E3,100,0.07,0.2916666666666667,0.1425071770334928
Qwen2.5-3B,YAGO3-10,pog,E4,100,0.12,0.5,0.17551587301587301
Qwen2.5-3B,YAGO3-10,pog,E5,100,0.22,0.6470588235294118,0.22060025062656646
Qwen2.5-3B,YAGO3-10,pog,E6,100,0.66,0.9428571428571428,0.6305438596491226
Qwen2.5-3B,YAGO3-10,pog,E7,100,0.1,0.4166666666666667,0.16379072681704257
Qwen2.5-3B,YAGO3-10,structgpt,E0,100,0.45,0.8490566037735849,0.4373005307386112
Qwen2.5-3B,YAGO3-10,structgpt,E1,100,0.12,0.375,0.23446719740527794
Qwen2.5-3B,YAGO3-10,structgpt,E2,100,0.1,0.3448275862068966,0.20646719740527794
Qwen2.5-3B,YAGO3-10,structgpt,E3,100,0.07,0.2413793103448276,0.1834830704211509
Qwen2.5-3B,YAGO3-10,structgpt,E4,100,0.13,0.43333333333333335,0.220735171261487
Qwen2.5-3B,YAGO3-10,structgpt,E5,100,0.52,0.8524590163934426,0.5084116418497222
Qwen2.5-3B,YAGO3-10,structgpt,E6,100,0.57,0.8507462686567164,0.5940396445659603
Qwen2.5-3B,YAGO3-10,structgpt,E7,100,0.1,0.3333333333333333,0.2131338640719446
Llama-3.1-8B,FrenchRoyalty,onehop,E0,100,0.53,0.8688524590163934,0.438051615051615
Llama-3.1-8B,FrenchRoyalty,onehop,E1,100,0.15,0.38461538461538464,0.24430735930735928
Llama-3.1-8B,FrenchRoyalty,onehop,E2,100,0.29,0.5686274509803921,0.3240930735930736
Llama-3.1-8B,FrenchRoyalty,onehop,E3,100,0.28,0.5490196078431373,0.33131529581529584
Llama-3.1-8B,FrenchRoyalty,onehop,E4,100,0.14,0.35,0.2521413031413031
Llama-3.1-8B,FrenchRoyalty,onehop,E5,100,0.54,0.8571428571428571,0.45216883116883116
Llama-3.1-8B,FrenchRoyalty,onehop,E6,100,0.74,0.9024390243902439,0.5874300144300141
Llama-3.1-8B,FrenchRoyalty,onehop,E7,100,0.25,0.5319148936170213,0.3023975468975469
Llama-3.1-8B,FrenchRoyalty,tog,E0,100,0.56,0.8484848484848485,0.45590043290043275
Llama-3.1-8B,FrenchRoyalty,tog,E1,100,0.13,0.37142857142857144,0.21338311688311692
Llama-3.1-8B,FrenchRoyalty,tog,E2,100,0.26,0.5909090909090909,0.2749805194805195
Llama-3.1-8B,FrenchRoyalty,tog,E3,100,0.25,0.5813953488372093,0.27298051948051955
Llama-3.1-8B,FrenchRoyalty,tog,E4,100,0.14,0.3783783783783784,0.2205735930735931
Llama-3.1-8B,FrenchRoyalty,tog,E5,100,0.55,0.859375,0.43844083694083685
Llama-3.1-8B,FrenchRoyalty,tog,E6,100,0.77,0.9746835443037974,0.5439870129870127
Llama-3.1-8B,FrenchRoyalty,tog,E7,100,0.29,0.6444444444444445,0.29007359307359315
Llama-3.1-8B,FrenchRoyalty,pog,E0,100,0.48,0.8571428571428571,0.39146825396825397
Llama-3.1-8B,FrenchRoyalty,pog,E1,100,0.11,0.3142857142857143,0.21193939393939396
Llama-3.1-8B,FrenchRoyalty,pog,E2,100,0.2,0.46511627906976744,0.2610815295815296
Llama-3.1-8B,FrenchRoyalty,pog,E3,100,0.24,0.5217391304347826,0.2810281385281385
Llama-3.1-8B,FrenchRoyalty,pog,E4,100,0.09,0.2727272727272727,0.19960606060606062
Llama-3.1-8B,FrenchRoyalty,pog,E5,100,0.47,0.8245614035087719,0.3821579531579532
Llama-3.1-8B,FrenchRoyalty,pog,E6,100,0.77,0.9746835443037974,0.5312655122655119
Llama-3.1-8B,FrenchRoyalty,pog,E7,100,0.25,0.5319148936170213,0.2753304473304473
